canton,Acueductos,Educación,Energía,Residencial,Salud,Transporte
Abangares,0.005853846153846154,0.012623255813953488,0.0,0.0025723398890569846,0.015733333333333332,0.00286
Acosta,0.005687500000000001,0.014487719298245614,0.0,0.003733750553832521,0.03905,0.004425
Alajuela,0.009236458333333334,0.01633301886792453,0.006566666666666668,0.003268298692273675,0.039515625,0.0034073170731707316
Alajuelita,0.006482608695652175,0.019113636363636364,0.0118,0.003921527364958586,0.0386,0.0033125
Alvarado,0.0,0.012185714285714286,0.0,0.0028073948681397007,0.04053333333333333,0.0027
Aserrí,0.00652,0.01533939393939394,,0.003608254850254285,0.042728571428571435,0.00347
Atenas,0.007376666666666667,0.015804166666666664,0.0,0.0035123954372623576,0.04108,0.0038166666666666666
Bagaces,0.013824999999999999,0.013800000000000002,,0.0028223836574175223,0.033225,0.003375
Barva,,0.012136842105263158,0.006,0.0032772946544980443,0.04587142857142857,0.003075
Belén,0.01129090909090909,0.020016666666666665,0.0118,0.003970127205580632,0.048575,0.0036999999999999997
Buenos Aires,0.006675862068965517,0.011127027027027028,0.0,0.0033420642596174513,0.039099999999999996,0.0035714285714285718
Carrillo,0.011498666666666666,0.01602,0.0,0.0026742468085106386,0.04681666666666667,0.004605
Cartago,0.009636363636363636,0.015224324324324325,,0.00311811257493759,0.03934137931034483,0.0030791666666666663
Cañas,0.010639534883720929,0.013744736842105263,0.0,0.002791799891245242,0.0358,0.0034444444444444444
Corredores,0.006623255813953489,0.014478021978021977,0.0,0.0037387455970912396,0.04047142857142857,0.004341666666666666
Coto Brus,0.004084090909090909,0.010226086956521739,0.0,0.0029356642151229604,0.034866666666666664,0.0025153846153846155
Curridabat,0.006311764705882353,0.01752666666666667,0.0114,0.0037422571082627028,0.04145555555555555,0.00315
Desamparados,0.007867924528301887,0.01863947368421053,0.011800000000000001,0.003680559812310989,0.039660869565217395,0.003309090909090909
Dota,0.0,0.012238461538461538,0.0,0.0033820998278829605,0.04825,0.0032666666666666664
El Guarco,0.007499999999999999,0.013859375,0.0,0.0031871719061123513,0.04613333333333333,0.0031666666666666666
Escazú,0.008298,0.018828571428571427,0.012,0.0038909075335132126,0.038919999999999996,0.0033272727272727273
Esparza,0.008492857142857144,0.015883333333333333,0.0,0.003506383755751954,0.04444285714285714,0.003666666666666667
Flores,,0.016816666666666667,,0.00336368899917287,0.0017,0.0032500000000000003
Garabito,0.01273125,0.01763157894736842,0.0,0.003873506266394637,0.036399999999999995,0.003833333333333333
Goicoechea,0.009352941176470588,0.017082758620689656,0.0113,0.0033819664670658683,0.037180000000000005,0.003123529411764706
Golfito,0.007172413793103448,0.01442843137254902,0.0,0.0037969786966702843,0.04055555555555555,0.004473333333333333
Grecia,,0.014084782608695653,0.0032,0.0033396648044692737,0.04086923076923077,0.003376923076923077
Guatuso,0.0,0.009532142857142859,0.0041,0.002357775965198477,0.0254,0.0026
Guácimo,0.005153846153846154,0.006512068965517241,0.0,0.0018233139937190608,0.0190125,0.0015555555555555555
Heredia,0.008499999999999999,0.017407142857142857,0.0012055555555555554,0.0033606571916845137,0.02452,0.00317
Hojancha,0.006775000000000001,0.010745454545454546,0.0,0.0019094385679414157,0.020300000000000002,0.0027
Jiménez,0.0,0.010366666666666666,0.0,0.0026200562879573393,0.03916666666666666,0.0026000000000000003
La Cruz,0.008576470588235293,0.011380851063829788,0.0,0.0022626601965907676,0.037040000000000003,0.003322222222222222
La Unión,0.007750000000000001,0.017249999999999998,0.0112,0.0032287022703818367,0.039900000000000005,0.0031
León Cortés Castro,0.0,0.013558620689655172,0.0,0.003459676540069053,0.04986666666666667,0.0035499999999999998
Liberia,0.011129166666666667,0.017830434782608696,0.0,0.002827829649765591,0.037,0.003622222222222223
Limón,0.003941860465116279,0.004649285714285714,0.0,0.0008134002296713512,0.0100875,0.0011
Los Chiles,0.010668,0.00918125,0.0,0.005443763613978596,0.022885714285714287,0.006123076923076924
Matina,0.0029708333333333336,0.004603703703703704,0.0,0.0012919099590723055,0.012455555555555557,0.0033833333333333337
Montes de Oca,0.0039,0.01471875,0.0113,0.004021658729354545,0.0406625,0.00315
Montes de Oro,0.01079,0.014752631578947368,0.0051,0.0031111282578875172,0.0019,0.00344
Mora,0.008031428571428571,0.014988,,0.0036776422456246687,0.03463333333333333,0.0036666666666666666
Moravia,0.011066666666666667,0.01618125,,0.0034244666521833587,0.016033333333333333,0.003057142857142857
Nandayure,0.0,0.010781632653061224,0.0,0.0017921918572225322,0.03055,0.002811764705882353
Naranjo,,0.014341176470588234,0.0,0.00327919759406194,0.03485,0.0033541666666666668
Nicoya,0.007527027027027028,0.011558181818181818,0.0,0.0018207395892988628,0.03485384615384615,0.0027433333333333333
Oreamuno,0.0,0.013755,0.0,0.003023181848426376,0.03466,0.00287
Orotina,0.009961290322580646,0.017215789473684212,0.0,0.003581367223531823,0.03646666666666667,0.004614285714285714
Osa,0.008910714285714286,0.01399009900990099,0.0,0.005214693374422188,0.045,0.006716666666666667
Palmares,0.008295652173913043,0.01615294117647059,0.0,0.003331717127395056,0.0434,0.00351
Paraíso,0.0,0.0137925,0.0,0.0030994960996172296,0.03837142857142857,0.003788235294117647
Parrita,0.00981,0.016866666666666665,0.0,0.004991594805194805,0.027899999999999998,0.006955555555555556
Pococí,0.0059117647058823525,0.006263522012578617,0.0,0.001947644369980514,0.02129,0.001711111111111111
Poás,0.0095,0.01391,0.003,0.003169731543624161,0.0397,0.00325
Puntarenas,0.008823529411764706,0.013283798882681564,,0.0027321372984414885,0.033412000000000004,0.0030705882352941175
Puriscal,0.008436764705882352,0.015328767123287672,0.0,0.0036580227882037535,0.044783333333333335,0.0038125
Pérez Zeledón,0.006084705882352941,0.012418852459016392,0.0,0.003365126986484479,0.0426,0.0032121951219512197
Quepos,0.008252,0.013955319148936171,0.0,0.0037860114608681997,0.036366666666666665,0.004350000000000001
Río Cuarto,0.0,0.008636363636363636,0.0,0.002385737806132949,0.036500000000000005,0.00232
San Carlos,0.0,0.010243984962406015,0.0049,0.003107203846714265,0.030124242424242425,0.0034111111111111113
San Isidro,,0.012983333333333333,0.0006,0.003323192019950125,0.0341,0.003
San José,0.008236363636363637,0.016592380952380952,0.011314285714285712,0.004250956903448134,0.013146875,0.00326734693877551
San Mateo,0.011353333333333333,0.014321428571428572,0.0,0.003668029087261785,0.05345,0.003766666666666667
San Pablo,0.011353333333333333,0.016883333333333334,0.0006,0.0033728561428071407,0.035175,0.0031
San Rafael,0.00765,0.01406,0.0006,0.0033545080670673837,0.034325,0.00305
San Ramón,0.008236538461538462,0.013552,0.0049,0.003259516091387672,0.0424375,0.0033230769230769234
Santa Ana,0.01025,0.017022222222222223,0.0116,0.004104928076718167,0.04108333333333333,0.0035454545454545456
Santa Bárbara,0.0,0.0165,0.0117,0.00324937537627935,0.0405625,0.0031375
Santa Cruz,0.008544859813084112,0.013735365853658537,0.0,0.002275141993556316,0.047066666666666666,0.0032962962962962963
Santo Domingo,0.008499999999999999,0.015335294117647058,0.0112,0.003395068565400844,0.03952857142857143,0.0030818181818181817
Sarapiquí,0.0,0.00835241935483871,0.0,0.002456223312277235,0.0227,0.003194736842105263
Sarchí,0.0,0.01445,0.0,0.0032776431150077358,0.035675,0.0031857142857142856
Siquirres,0.00548,0.006502083333333333,0.0,0.0019923728479691134,0.018542857142857142,0.002966666666666667
Talamanca,0.010062857142857142,0.006048958333333333,0.0,0.002808503897091439,0.02166363636363636,0.0022714285714285714
Tarrazú,0.0,0.013609677419354838,0.0,0.0036095062234988372,0.026225,0.00352
Tibás,0.0092,0.017170588235294118,0.0115,0.003960514979439984,0.016900000000000002,0.0031899999999999997
Tilarán,0.005797222222222222,0.012278260869565216,,0.0025945865817503023,0.03408,0.0027315789473684213
Turrialba,0.0,0.008454140127388534,0.0,0.002257455947509047,0.02939285714285714,0.002255
Turrubares,0.004993333333333333,0.015327272727272728,0.0,0.003891941489361702,0.0531,0.004566666666666667
Upala,0.0,0.010797727272727273,0.0026,0.00327496411139822,0.03270769230769231,0.003008695652173913
Vázquez de Coronado,0.004675757575757575,0.015327777777777777,0.0109,0.0032466526797634947,0.02215,0.0030125
Zarcero,0.0,0.012509999999999999,0.0,0.0031936749769159744,0.031233333333333335,0.0031
