canton,Acueductos,Educación,Energía,Residencial,Salud,Transporte
Abangares,0.0035,0.0108,,0.0009,0.0015,0.0026
Acosta,0.0044,0.0127,,0.002,0.0019,0.0036
Alajuela,0.0034,0.0085,0.0051,0.0015,0.0017,0.0027
Alajuelita,0.003,0.012,0.0118,0.002,0.0017,0.0033
Alvarado,,0.0099,,0.0016,0.0397,0.0025
Aserrí,0.0031,0.0121,,0.002,0.0017,0.0033
Atenas,0.0044,0.0136,,0.0021,0.0019,0.0036
Bagaces,0.004,0.0109,,0.0011,0.0017,0.0028
Barva,,0.0114,0.0006,0.0006,0.0452,0.003
Belén,0.0094,0.0129,0.0118,0.0021,0.0483,0.0033
Buenos Aires,0.0034,0.0095,,0.0016,0.0013,0.0027
Carrillo,0.0041,0.0126,,0.0009,0.0018,0.0031
Cartago,0.0027,0.0107,,0.0019,0.0016,0.0029
Cañas,0.0038,0.0109,,0.0009,0.0016,0.0027
Corredores,0.0033,0.0103,,0.0015,0.0015,0.0025
Coto Brus,0.0026,0.0074,,0.0013,0.0013,0.0021
Curridabat,0.0039,0.0114,0.0114,0.002,0.0017,0.0031
Desamparados,0.0028,0.0117,0.0117,0.0019,0.0017,0.0032
Dota,,0.0118,,0.0019,0.0479,0.0032
El Guarco,0.0038,0.0116,,0.0018,0.0455,0.0031
Escazú,0.003,0.0121,0.012,0.002,0.0018,0.0033
Esparza,0.0042,0.0133,,0.0017,0.002,0.0035
Flores,,0.0118,,0.002,0.0017,0.0032
Garabito,0.0048,0.0138,,0.0018,0.0021,0.0038
Goicoechea,0.0028,0.0113,0.0113,0.0019,0.0017,0.0029
Golfito,0.0026,0.0114,,0.0013,0.0015,0.0026
Grecia,,0.012,0.0032,0.0019,0.0018,0.0032
Guatuso,,0.0077,0.0041,0.001,0.0012,0.0019
Guácimo,0.0023,0.0039,,0.0004,0.001,0.0012
Heredia,0.0041,0.0116,0.0006,0.0006,0.0017,0.003
Hojancha,0.0033,0.0101,,0.0008,0.0015,0.0027
Jiménez,,0.0093,,0.0015,0.0385,0.0024
La Cruz,0.0042,0.0092,,0.0008,0.0017,0.0026
La Unión,0.0038,0.0113,0.0112,0.0019,0.0016,0.0031
León Cortés Castro,,0.0123,,0.002,0.0489,0.0035
Liberia,0.0053,0.0126,,0.0015,0.0018,0.0031
Limón,0.0006,0.0024,,0.0003,0.0003,0.0005
Los Chiles,0.0022,0.0036,,0.0003,0.0033,0.0015
Matina,0.0009,0.0022,,0.0002,0.0004,0.0005
Montes de Oca,0.0039,0.0114,0.0113,0.002,0.0017,0.0031
Montes de Oro,0.0042,0.0126,0.0051,0.0018,0.0019,0.0033
Mora,0.0032,0.0135,,0.0021,0.002,0.0035
Moravia,0.0028,0.0113,,0.0019,0.0017,0.0029
Nandayure,,0.0102,,0.0008,0.0015,0.0026
Naranjo,,0.0122,,0.0019,0.0018,0.0032
Nicoya,0.0033,0.0096,,0.0008,0.0015,0.0026
Oreamuno,,0.0105,,0.0018,0.0016,0.0027
Orotina,0.0046,0.0146,,0.0018,0.002,0.0038
Osa,0.004,0.0111,,0.0013,0.0041,0.0027
Palmares,0.0044,0.0126,,0.0021,0.0019,0.0035
Paraíso,,0.0101,,0.0016,0.0015,0.0027
Parrita,0.0048,0.0141,,0.0018,0.0021,0.0038
Pococí,0.0023,0.0017,,0.0001,0.0006,0.0004
Poás,0.0095,0.0118,0.003,0.0019,0.0017,0.0031
Puntarenas,0.0032,0.0105,,0.0008,0.0016,0.0026
Puriscal,0.0033,0.0133,,0.0019,0.0019,0.0037
Pérez Zeledón,0.0038,0.0107,,0.0017,0.0015,0.0028
Quepos,0.0046,0.0128,,0.0019,0.0019,0.0035
Río Cuarto,,0.0047,,0.0003,0.035,0.0011
San Carlos,,0.0023,0.0049,0.0001,0.0011,0.0009
San Isidro,,0.0112,0.0006,0.0006,0.0016,0.003
San José,0.004,0.0117,0.0070999999999999995,0.002,0.0017,0.0032
San Mateo,0.0047,0.0136,,0.002,0.0532,0.0037
San Pablo,0.0039,0.0124,0.0006,0.0006,0.0017,0.0031
San Rafael,0.0039,0.0121,0.0006,0.0006,0.0017,0.003
San Ramón,0.0042,0.0104,0.0049,0.0016,0.0018,0.0026
Santa Ana,0.0031,0.0123,0.0077,0.002,0.0018,0.0034
Santa Bárbara,,0.0118,0.0117,0.0019,0.0017,0.0031
Santa Cruz,0.0036,0.0099,,0.0008,0.0016,0.0027
Santo Domingo,0.0029,0.0116,0.0112,0.0019,0.0017,0.003
Sarapiquí,,0.0021,,0.0001,0.001,0.001
Sarchí,,0.0121,,0.0019,0.0018,0.003
Siquirres,0.0014,0.0034,,0.0001,0.0006,0.001
Talamanca,0.0007,0.0026,,0.0003,0.0004,0.0005
Tarrazú,,0.0127,,0.002,0.0017,0.0034
Tibás,0.0092,0.0117,0.0115,0.002,0.0017,0.0031
Tilarán,0.0026,0.0106,,0.0015,0.0015,0.0026
Turrialba,,0.0039,,0.0003,0.0012,0.0015
Turrubares,0.0035,0.0144,,0.0018,0.0531,0.0037
Upala,,0.0076,0.0026,0.0009,0.001,0.0018
Vázquez de Coronado,0.0027,0.0111,0.0109,0.0018,0.0016,0.0029
Zarcero,,0.0118,,0.0019,0.0017,0.0031
